%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.000    0.000 object_identity.py:42(_assert_type)
       63    0.000    0.000    0.000    0.000 op_def_library.py:510(<listcomp>)
       18    0.000    0.000    0.000    0.000 func_graph.py:265(watch_variable)
       57    0.000    0.000    0.000    0.000 functools.py:64(wraps)
       48    0.000    0.000    0.000    0.000 python_message.py:453(MakeRepeatedScalarDefault)
      177    0.000    0.000    0.000    0.000 encoder.py:96(_SignedVarintSize)
      119    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       36    0.000    0.000    0.000    0.000 tensor_shape.py:866(__getitem__)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       64    0.000    0.000    0.000    0.000 context.py:1204(op_callbacks)
       64    0.000    0.000    0.000    0.000 lock_util.py:126(__exit__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       12    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       12    0.000    0.000    0.000    0.000 policy.py:296(__init__)
       18    0.000    0.000    0.000    0.000 ops.py:5291(_colocate_with_for_gradient)
       36    0.000    0.000    0.000    0.000 weakref.py:471(pop)
      114    0.000    0.000    0.000    0.000 tf_decorator.py:114(_has_tf_decorator_attr)
       18    0.000    0.000    0.000    0.000 ops.py:4567(__exit__)
       46    0.000    0.000    0.000    0.000 ops.py:6051(_get_graph_from_inputs)
       93    0.000    0.000    0.000    0.000 ops.py:5035(_device_function_stack)
       42    0.000    0.000    0.000    0.000 ops.py:6583(__init__)
       53    0.000    0.000    0.000    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
      128    0.000    0.000    0.000    0.000 traceable_stack.py:123(peek_traceable_objs)
       64    0.000    0.000    0.000    0.000 training.py:327(<genexpr>)
      114    0.000    0.000    0.000    0.000 ops.py:5117(_auto_cast_variable_read_dtype)
      176    0.000    0.000    0.000    0.000 context.py:1718(context_switches)
      340    0.000    0.000    0.000    0.000 inspect.py:2539(name)
       18    0.000    0.000    0.000    0.000 input_spec.py:57(__init__)
      154    0.000    0.000    0.000    0.000 ops.py:2381(graph)
       27    0.000    0.000    0.000    0.000 ops.py:5325(control_dependencies)
       10    0.000    0.000    0.000    0.000 ops.py:444(_c_api_shape)
      114    0.000    0.000    0.000    0.000 ops.py:5101(_distribution_strategy_stack)
       59    0.000    0.000    0.000    0.000 nest.py:536(pack_sequence_as)
       66    0.000    0.000    0.000    0.000 context.py:808(scope_name)
       18    0.000    0.000    0.000    0.000 object_identity.py:75(__init__)
       24    0.000    0.000    0.001    0.000 gen_resource_variable_ops.py:1162(var_handle_op)
       10    0.000    0.000    0.000    0.000 backend.py:984(unique_object_name)
      110    0.000    0.000    0.000    0.000 op_def_library.py:80(_IsListValue)
       12    0.000    0.000    0.003    0.000 version_utils.py:63(__new__)
       64    0.000    0.000    0.000    0.000 threading.py:261(_is_owned)
       24    0.000    0.000    0.000    0.000 resource_variable_ops.py:268(__init__)
      245    0.000    0.000    0.000    0.000 node.py:118(keras_inputs)
       24    0.000    0.000    0.000    0.000 gen_resource_variable_ops.py:122(assign_variable_op)
       10    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
      161    0.000    0.000    0.000    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
       49    0.000    0.000    0.000    0.000 tensor_conversion_registry.py:114(get)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
    72/69    0.000    0.000    0.000    0.000 optimizer_v2.py:706(__getattribute__)
       86    0.000    0.000    0.000    0.000 tensor_shape.py:819(rank)
       38    0.000    0.000    0.000    0.000 object_identity.py:137(__delitem__)
       46    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
